sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,Group,config,trial_type
The known dancers weren't unemployed.,The knew dancers weren't unemployed.,morphology,irregular_forms,irregular_past_participle_adjectives,740,p0,irregular_past_participle_adjectives,target
There does turn out to be a mouth scaring the committee.,There does bother to be a mouth scaring the committee.,syntax_semantics,control_raising,existential_there_subject_raising,521,p0,existential_there_subject_raising,target
Kevin isn't figuring out what some guests lifted.,Kevin isn't some what figuring out guests lifted.,syntax,filler_gap_dependency,wh_vs_that_with_gap,859,p0,wh_vs_that_with_gap,filler
What senators had Ellen left and Steven cured?,What had Ellen left senators and Steven cured?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,859,p0,coordinate_structure_constraint_complex_left_branch,target
Martin isn't bound to slump over.,Martin isn't fun to slump over.,syntax_semantics,control_raising,tough_vs_raising_2,678,p0,tough_vs_raising_2,target
Eva has exited those smooth oases.,Eva has exited that smooth oases.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,136,p0,determiner_noun_agreement_with_adj_irregular_2,target
The gloves were impressing Diana.,The glove were impressing Diana.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,136,p0,regular_plural_subject_verb_agreement_2,target
A museum forgets about itself listening to this senator.,A museum forgets about itself listens to this senator.,syntax/semantics,binding,principle_A_case_2,740,p0,principle_A_case_2,target
Which pedestrians has Tiffany alarmed and Chad listened to?,Which has Tiffany alarmed pedestrians and Chad listened to?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,678,p0,coordinate_structure_constraint_complex_left_branch,target
The forgotten senator isn't confident.,The forgot senator isn't confident.,morphology,irregular_forms,irregular_past_participle_adjectives,136,p0,irregular_past_participle_adjectives,target
What alumni has Scott impressed and Stephen discussed?,What has Scott impressed alumni and Stephen discussed?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,737,p0,coordinate_structure_constraint_complex_left_branch,target
The broken mirrors were purple.,The broke mirrors were purple.,morphology,irregular_forms,irregular_past_participle_adjectives,626,p0,irregular_past_participle_adjectives,target
Elizabeth explores all restaurants.,Elizabeth explore all restaurants.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,513,p0,regular_plural_subject_verb_agreement_1,target
The taken glaciers aren't rough.,The took glaciers aren't rough.,morphology,irregular_forms,irregular_past_participle_adjectives,660,p0,irregular_past_participle_adjectives,target
Who weren't Brenda's mothers who are upsetting all students questioning?,Who are upsetting all who mothers students Brenda's weren't questioning?,syntax,island_effects,complex_NP_island,737,p0,complex_NP_island,filler
There looked to be a photograph vanishing.,There proposed to be a photograph vanishing.,syntax_semantics,control_raising,existential_there_subject_raising,626,p0,existential_there_subject_raising,target
The ladies negotiate.,The lady negotiate.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,513,p0,regular_plural_subject_verb_agreement_2,target
Katherine is imagining herself helping most adults.,Katherine is imagining herself helps most adults.,syntax/semantics,binding,principle_A_case_2,136,p0,principle_A_case_2,target
There hadn't appeared to be a picture irritating Angela.,There hadn't intended to be a picture irritating Angela.,syntax_semantics,control_raising,existential_there_subject_raising,737,p0,existential_there_subject_raising,target
Karla didn't imagine herself praising Pamela.,Karla didn't imagine herself praises Pamela.,syntax/semantics,binding,principle_A_case_2,626,p0,principle_A_case_2,target
The governments haven't interacted.,The government haven't interacted.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,521,p0,regular_plural_subject_verb_agreement_2,target
Which offspring is Edward working with and all gates impressing?,Which is Edward working with offspring and all gates impressing?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,660,p0,coordinate_structure_constraint_complex_left_branch,target
Irene has imagined herself cleaning many reports.,Irene has imagined herself cleaned many reports.,syntax/semantics,binding,principle_A_case_2,513,p0,principle_A_case_2,target
Carolyn will investigate that many boys hadn't worn this blouse.,Carolyn will investigate what many boys hadn't worn this blouse.,syntax,filler_gap_dependency,wh_vs_that_no_gap,859,p0,wh_vs_that_no_gap,target
Carla wouldn't hide this new plate.,Carla wouldn't hide this new plates.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,411,p0,determiner_noun_agreement_with_adjective_1,target
Katherine was cleaning this orange tooth.,Katherine was cleaning these orange tooth.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,660,p0,determiner_noun_agreement_with_adj_irregular_2,target
The teacher has seen most boys.,The teachers has seen most boys.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,411,p0,regular_plural_subject_verb_agreement_2,target
Which schools should Stacey go to and Roger stun?,Which should Stacey go to schools and Roger stun?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,513,p0,coordinate_structure_constraint_complex_left_branch,target
There are soon to be no pies vanishing.,There are unhappy to be no pies vanishing.,syntax_semantics,control_raising,existential_there_subject_raising,740,p0,existential_there_subject_raising,target
Scott's teachers are leaving one scared grandfather of and David isn't leaving a lot.,Scott's leaving teachers scared are of leaving David and a grandfather isn't one lot.,syntax,ellipsis,ellipsis_n_bar_1,859,p0,ellipsis_n_bar_1,filler
The worn sock isn't smooth.,The wore sock isn't smooth.,morphology,irregular_forms,irregular_past_participle_adjectives,521,p0,irregular_past_participle_adjectives,target
Some waiters hug this content alumnus.,Some waiters hug these content alumnus.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,678,p0,determiner_noun_agreement_with_adj_irregular_2,target
The essay disagrees with most pedestrians.,The essays disagrees with most pedestrians.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,740,p0,regular_plural_subject_verb_agreement_2,target
There is apt to be a glacier annoying Mark.,There is reluctant to be a glacier annoying Mark.,syntax_semantics,control_raising,existential_there_subject_raising,859,p0,existential_there_subject_raising,target
A lot of students hadn't respected that concealed restaurant.,A lot of students hadn't respected that concealed restaurants.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,513,p0,determiner_noun_agreement_with_adjective_1,target
Kristin wasn't kissing those small men.,Kristin wasn't kissing that small men.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,626,p0,determiner_noun_agreement_with_adj_irregular_2,target
Colleen didn't attack that good actor.,Colleen didn't attack that good actors.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,737,p0,determiner_noun_agreement_with_adjective_1,target
All waiters weren't arguing about Dana.,All waiters wasn't arguing about Dana.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,737,p0,regular_plural_subject_verb_agreement_1,target
These shawls fray.,These fray shawls.,syntax,argument_structure,intransitive,737,p0,intransitive,filler
Debra forgets about herself finding Tiffany.,Debra forgets about herself finds Tiffany.,syntax/semantics,binding,principle_A_case_2,660,p0,principle_A_case_2,target
The patients haven't explored the lakes.,The patient haven't explored the lakes.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,737,p0,regular_plural_subject_verb_agreement_2,target
Some waiters know that some ladies would buy some bicycles.,Some waiters know what some ladies would buy some bicycles.,syntax,filler_gap_dependency,wh_vs_that_no_gap,626,p0,wh_vs_that_no_gap,target
Christine's partner was bound to annoy the museum.,Christine's partner was pleasant to annoy the museum.,syntax_semantics,control_raising,tough_vs_raising_2,740,p0,tough_vs_raising_2,target
Dan will forget about himself wearing every sock.,Dan will forget about himself wears every sock.,syntax/semantics,binding,principle_A_case_2,737,p0,principle_A_case_2,target
Sara hasn't impressed the Lutherans.,Sara haven't impressed the Lutherans.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,136,p0,regular_plural_subject_verb_agreement_1,target
This committee isn't describing this good pamphlet.,This committee isn't describing this good pamphlets.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,859,p0,determiner_noun_agreement_with_adjective_1,target
Travis isn't about to chuckle.,Travis isn't easy to chuckle.,syntax_semantics,control_raising,tough_vs_raising_2,411,p0,tough_vs_raising_2,target
The forgotten movies were important.,The forgot movies were important.,morphology,irregular_forms,irregular_past_participle_adjectives,737,p0,irregular_past_participle_adjectives,target
Whose committees is Paula astounding and Wendy impressing?,Whose is Paula astounding committees and Wendy impressing?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,136,p0,coordinate_structure_constraint_complex_left_branch,target
Christine praises every movie.,Christine praise every movie.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,626,p0,regular_plural_subject_verb_agreement_1,target
Bill passes that rough oasis.,Bill passes those rough oasis.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,740,p0,determiner_noun_agreement_with_adj_irregular_2,target
Vincent was cleaning that small glass.,Vincent was cleaning that small glasses.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,660,p0,determiner_noun_agreement_with_adjective_1,target
Stacy isn't boasting about Russell.,Stacy aren't boasting about Russell.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,859,p0,regular_plural_subject_verb_agreement_1,target
A waiter brought those purple teeth.,A waiter brought that purple teeth.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,513,p0,determiner_noun_agreement_with_adj_irregular_2,target
The associations forget about themselves firing Carol.,The associations forget about themselves fire Carol.,syntax/semantics,binding,principle_A_case_2,411,p0,principle_A_case_2,target
These lakes melt.,These melt lakes.,syntax,argument_structure,intransitive,859,p0,intransitive,filler
Kristin leaves Monica.,Kristin leave Monica.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,521,p0,regular_plural_subject_verb_agreement_1,target
That cilantro astounds that new museum.,That cilantro astounds that new museums.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,740,p0,determiner_noun_agreement_with_adjective_1,target
Lawrence remembered that students see Heather.,Lawrence remembered who students see Heather.,syntax,filler_gap_dependency,wh_vs_that_no_gap,521,p0,wh_vs_that_no_gap,target
Boys think about themselves running around the Great Lakes.,Boys think about themselves ran around the Great Lakes.,syntax/semantics,binding,principle_A_case_2,678,p0,principle_A_case_2,target
The teacher responds.,The teachers responds.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,678,p0,regular_plural_subject_verb_agreement_2,target
Marla shouldn't figure out that many museums insult the plays.,Marla shouldn't figure out what many museums insult the plays.,syntax,filler_gap_dependency,wh_vs_that_no_gap,411,p0,wh_vs_that_no_gap,target
Thomas figures out who many cashiers haven't disliked.,Thomas haven't many cashiers figures who out disliked.,syntax,filler_gap_dependency,wh_vs_that_with_gap,737,p0,wh_vs_that_with_gap,filler
The broken unicycle was orange.,The broke unicycle was orange.,morphology,irregular_forms,irregular_past_participle_adjectives,513,p0,irregular_past_participle_adjectives,target
What picture had a bank looked like?,What had a bank looked picture like?,syntax,island_effects,left_branch_island_simple_question,859,p0,left_branch_island_simple_question,filler
The known waitresses weren't clever.,The knew waitresses weren't clever.,morphology,irregular_forms,irregular_past_participle_adjectives,411,p0,irregular_past_participle_adjectives,target
That guy wasn't noticing Samuel.,That guy aren't noticing Samuel.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,740,p0,regular_plural_subject_verb_agreement_1,target
Carol hadn't investigated that a waiter should conceal that shirt.,Carol hadn't investigated what a waiter should conceal that shirt.,syntax,filler_gap_dependency,wh_vs_that_no_gap,660,p0,wh_vs_that_no_gap,target
What children has Laura remembered and Marcus aggravated?,What has Laura remembered children and Marcus aggravated?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,740,p0,coordinate_structure_constraint_complex_left_branch,target
Some essay isn't astounding those popular associations.,Some essay isn't astounding those popular association.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,678,p0,determiner_noun_agreement_with_adjective_1,target
Connie forgot that the steps worry Elizabeth.,Connie forgot who the steps worry Elizabeth.,syntax,filler_gap_dependency,wh_vs_that_no_gap,678,p0,wh_vs_that_no_gap,target
Theresa's employee was certain to prod all children's friend to explain everything.,Theresa's employee was tough to prod all children's friend to explain everything.,syntax_semantics,control_raising,tough_vs_raising_2,513,p0,tough_vs_raising_2,target
There is soon to be a daughter of Donald declaring those scarves to crumple.,There is happy to be a daughter of Donald declaring those scarves to crumple.,syntax_semantics,control_raising,existential_there_subject_raising,136,p0,existential_there_subject_raising,target
Craig's handymen were sure to flirt.,Craig's handymen were hard to flirt.,syntax_semantics,control_raising,tough_vs_raising_2,859,p0,tough_vs_raising_2,target
Victoria isn't imagining herself questioning Karen.,Victoria isn't imagining herself questions Karen.,syntax/semantics,binding,principle_A_case_2,859,p0,principle_A_case_2,target
Carl's father is sure to observe Vincent.,Carl's father is boring to observe Vincent.,syntax_semantics,control_raising,tough_vs_raising_2,660,p0,tough_vs_raising_2,target
Which muffins is Sandra finding and Spain taking?,Which is Sandra finding muffins and Spain taking?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,521,p0,coordinate_structure_constraint_complex_left_branch,target
There isn't soon to be a cashier donating.,There isn't willing to be a cashier donating.,syntax_semantics,control_raising,existential_there_subject_raising,411,p0,existential_there_subject_raising,target
Actresses discuss this popular person.,Actresses discuss these popular person.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,737,p0,determiner_noun_agreement_with_adj_irregular_2,target
There proved to be a lady proposing to irritate Tina.,There neglected to be a lady proposing to irritate Tina.,syntax_semantics,control_raising,existential_there_subject_raising,513,p0,existential_there_subject_raising,target
Those banks describe Eric.,Those banks describes Eric.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,411,p0,regular_plural_subject_verb_agreement_1,target
Tina might confuse this exposed child.,Tina might confuse these exposed child.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,521,p0,determiner_noun_agreement_with_adj_irregular_2,target
Which chairs did Carlos like and every actress break?,Which did Carlos like chairs and every actress break?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,411,p0,coordinate_structure_constraint_complex_left_branch,target
Carmen forgot this smart cashier.,Carmen forgot this smart cashiers.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,626,p0,determiner_noun_agreement_with_adjective_1,target
Some offspring is likely to admire broccoli.,Some offspring is unpleasant to admire broccoli.,syntax_semantics,control_raising,tough_vs_raising_2,521,p0,tough_vs_raising_2,target
Lawrence isn't questioning that nice woman.,Lawrence isn't questioning those nice woman.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,859,p0,determiner_noun_agreement_with_adj_irregular_2,target
The box stunned that important school.,The box stunned that important schools.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,521,p1,determiner_noun_agreement_with_adjective_1,target
There are apt to be a lot of fathers of Michael discovering what shrink.,There are unable to be a lot of fathers of Michael discovering what shrink.,syntax_semantics,control_raising,existential_there_subject_raising,678,p1,existential_there_subject_raising,target
The patients haven't explored the lakes.,The patient haven't explored the lakes.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,737,p1,regular_plural_subject_verb_agreement_2,target
Some essay isn't astounding those popular associations.,Some essay isn't astounding those popular association.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,678,p1,determiner_noun_agreement_with_adjective_1,target
Victoria isn't imagining herself questioning Karen.,Victoria isn't imagining herself questions Karen.,syntax/semantics,binding,principle_A_case_2,859,p1,principle_A_case_2,target
That guy wasn't noticing Samuel.,That guy aren't noticing Samuel.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,740,p1,regular_plural_subject_verb_agreement_1,target
There are soon to be no pies vanishing.,There are unhappy to be no pies vanishing.,syntax_semantics,control_raising,existential_there_subject_raising,740,p1,existential_there_subject_raising,target
What senators had Ellen left and Steven cured?,What had Ellen left senators and Steven cured?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,859,p1,coordinate_structure_constraint_complex_left_branch,target
There is soon to be a daughter of Donald declaring those scarves to crumple.,There is happy to be a daughter of Donald declaring those scarves to crumple.,syntax_semantics,control_raising,existential_there_subject_raising,136,p1,existential_there_subject_raising,target
Carmen forgot this smart cashier.,Carmen forgot this smart cashiers.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,626,p1,determiner_noun_agreement_with_adjective_1,target
There is soon to be an eggplant upsetting Monica.,There is happy to be an eggplant upsetting Monica.,syntax_semantics,control_raising,existential_there_subject_raising,660,p1,existential_there_subject_raising,target
All customers conceal most students.,All customers conceals most students.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,678,p1,regular_plural_subject_verb_agreement_1,target
The hamsters stun Renee.,The hamster stun Renee.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,859,p1,regular_plural_subject_verb_agreement_2,target
There does turn out to be a mouth scaring the committee.,There does bother to be a mouth scaring the committee.,syntax_semantics,control_raising,existential_there_subject_raising,521,p1,existential_there_subject_raising,target
Carol is certain to conceal Sandra.,Carol is pleasant to conceal Sandra.,syntax_semantics,control_raising,tough_vs_raising_2,626,p1,tough_vs_raising_2,target
Meredith cured these guys.,Meredith cured these guy.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,626,p1,determiner_noun_agreement_1,target
Victoria is wearing all scarves.,Victoria were wearing all scarves.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,660,p1,regular_plural_subject_verb_agreement_1,target
Christopher hasn't hidden that chair.,Christopher hasn't hidden that chairs.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,678,p1,determiner_noun_agreement_1,target
The known girl wasn't lost.,The knew girl wasn't lost.,morphology,irregular_forms,irregular_past_participle_adjectives,859,p1,irregular_past_participle_adjectives,target
Katherine is imagining herself helping most adults.,Katherine is imagining herself helps most adults.,syntax/semantics,binding,principle_A_case_2,136,p1,principle_A_case_2,target
There looked to be a photograph vanishing.,There proposed to be a photograph vanishing.,syntax_semantics,control_raising,existential_there_subject_raising,626,p1,existential_there_subject_raising,target
Some sketches had looked like this girl.,Some sketches had looked like this girls.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,513,p1,determiner_noun_agreement_1,target
Which movie theaters had every teacher passed and Mitchell noticed?,Which had every teacher passed movie theaters and Mitchell noticed?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,626,p1,coordinate_structure_constraint_complex_left_branch,target
The essay disagrees with most pedestrians.,The essays disagrees with most pedestrians.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,740,p1,regular_plural_subject_verb_agreement_2,target
Connie forgot that the steps worry Elizabeth.,Connie forgot who the steps worry Elizabeth.,syntax,filler_gap_dependency,wh_vs_that_no_gap,678,p1,wh_vs_that_no_gap,target
Craig's handymen were sure to flirt.,Craig's handymen were hard to flirt.,syntax_semantics,control_raising,tough_vs_raising_2,859,p1,tough_vs_raising_2,target
The associations forget about themselves firing Carol.,The associations forget about themselves fire Carol.,syntax/semantics,binding,principle_A_case_2,411,p1,principle_A_case_2,target
Which muffins is Sandra finding and Spain taking?,Which is Sandra finding muffins and Spain taking?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,521,p1,coordinate_structure_constraint_complex_left_branch,target
Veronica can drive to these good restaurants.,Veronica can drive to these good restaurant.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,136,p1,determiner_noun_agreement_with_adjective_1,target
All senators went to this hill.,All went senators to this hill.,morphology,irregular_forms,irregular_past_participle_verbs,859,p1,irregular_past_participle_verbs,filler
Stephanie had imagined that Richard thought about her.,Stephanie thought imagined that Richard had about her.,syntax_semantics,binding,principle_A_domain_1,737,p1,principle_A_domain_1,filler
What alumni has Scott impressed and Stephen discussed?,What has Scott impressed alumni and Stephen discussed?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,737,p1,coordinate_structure_constraint_complex_left_branch,target
Martin isn't bound to slump over.,Martin isn't fun to slump over.,syntax_semantics,control_raising,tough_vs_raising_2,678,p1,tough_vs_raising_2,target
The teacher responds.,The teachers responds.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,678,p1,regular_plural_subject_verb_agreement_2,target
What children has Laura remembered and Marcus aggravated?,What has Laura remembered children and Marcus aggravated?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,740,p1,coordinate_structure_constraint_complex_left_branch,target
A museum forgets about itself listening to this senator.,A museum forgets about itself listens to this senator.,syntax/semantics,binding,principle_A_case_2,740,p1,principle_A_case_2,target
Whose committees is Paula astounding and Wendy impressing?,Whose is Paula astounding committees and Wendy impressing?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,136,p1,coordinate_structure_constraint_complex_left_branch,target
Dan will forget about himself wearing every sock.,Dan will forget about himself wears every sock.,syntax/semantics,binding,principle_A_case_2,737,p1,principle_A_case_2,target
Kristin leaves Monica.,Kristin leave Monica.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,521,p1,regular_plural_subject_verb_agreement_1,target
Colleen left this patient.,Colleen left this patients.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,859,p1,determiner_noun_agreement_1,target
Sara hasn't impressed the Lutherans.,Sara haven't impressed the Lutherans.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,136,p1,regular_plural_subject_verb_agreement_1,target
There proved to be a lady proposing to irritate Tina.,There neglected to be a lady proposing to irritate Tina.,syntax_semantics,control_raising,existential_there_subject_raising,513,p1,existential_there_subject_raising,target
The schools weren't disturbing a lot of actors.,The school weren't disturbing a lot of actors.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,626,p1,regular_plural_subject_verb_agreement_2,target
A lot of restaurants aren't fun to go to.,A of go to restaurants lot aren't fun to.,syntax_semantics,control_raising,tough_vs_raising_1,859,p1,tough_vs_raising_1,filler
Anna conceals that some guest did clean some hospital.,Anna conceals what some guest did clean some hospital.,syntax,filler_gap_dependency,wh_vs_that_no_gap,737,p1,wh_vs_that_no_gap,target
The teacher has seen most boys.,The teachers has seen most boys.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,411,p1,regular_plural_subject_verb_agreement_2,target
The forgotten senator isn't confident.,The forgot senator isn't confident.,morphology,irregular_forms,irregular_past_participle_adjectives,136,p1,irregular_past_participle_adjectives,target
There is apt to be a glacier annoying Mark.,There is reluctant to be a glacier annoying Mark.,syntax_semantics,control_raising,existential_there_subject_raising,859,p1,existential_there_subject_raising,target
Which offspring is Edward working with and all gates impressing?,Which is Edward working with offspring and all gates impressing?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,660,p1,coordinate_structure_constraint_complex_left_branch,target
Keith was apt to find out who is getting a job.,Keith was tough to find out who is getting a job.,syntax_semantics,control_raising,tough_vs_raising_2,737,p1,tough_vs_raising_2,target
Some waiters know that some ladies would buy some bicycles.,Some waiters know what some ladies would buy some bicycles.,syntax,filler_gap_dependency,wh_vs_that_no_gap,626,p1,wh_vs_that_no_gap,target
Debra forgets about herself finding Tiffany.,Debra forgets about herself finds Tiffany.,syntax/semantics,binding,principle_A_case_2,660,p1,principle_A_case_2,target
Stacy isn't boasting about Russell.,Stacy aren't boasting about Russell.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,859,p1,regular_plural_subject_verb_agreement_1,target
Most dancers haven't forgotten this essay.,Most dancers haven't forgotten this essays.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,521,p1,determiner_noun_agreement_1,target
This committee isn't describing this good pamphlet.,This committee isn't describing this good pamphlets.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,859,p1,determiner_noun_agreement_with_adjective_1,target
This government dislikes these guys.,This government dislikes these guy.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,660,p1,determiner_noun_agreement_1,target
People hadn't explained Sherry hasn't questioned herself.,People questioned hadn't hasn't explained Sherry herself.,syntax_semantics,binding,principle_A_domain_2,859,p1,principle_A_domain_2,filler
