sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,Group,config,trial_type
Sheila escapes from a teenager.,Sheila escape from a teenager.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,280,p0,regular_plural_subject_verb_agreement_1,target
Guys should talk about that good synopsis.,Guys should talk about those good synopsis.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,899,p0,determiner_noun_agreement_with_adj_irregular_2,target
Candice wears a skirt.,Candice wear a skirt.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,899,p0,regular_plural_subject_verb_agreement_1,target
Whose closets has Carmen passed and Gary fled from?,Whose has Carmen passed closets and Gary fled from?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,899,p0,coordinate_structure_constraint_complex_left_branch,target
There wasn't certain to be spinach going bad.,There wasn't unhappy to be spinach going bad.,syntax_semantics,control_raising,existential_there_subject_raising,899,p0,existential_there_subject_raising,target
The forgotten doctors were displeased.,The forgot doctors were displeased.,morphology,irregular_forms,irregular_past_participle_adjectives,899,p0,irregular_past_participle_adjectives,target
Most actors distracted this popular woman.,Most actors distracted these popular woman.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,938,p0,determiner_noun_agreement_with_adj_irregular_2,target
There wouldn't prove to be a son of Stacy winning.,There wouldn't try to be a son of Stacy winning.,syntax_semantics,control_raising,existential_there_subject_raising,938,p0,existential_there_subject_raising,target
The broken computers are new.,The broke computers are new.,morphology,irregular_forms,irregular_past_participle_adjectives,938,p0,irregular_past_participle_adjectives,target
The waitresses think about all newspaper articles.,The waitresses thinks about all newspaper articles.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,938,p0,regular_plural_subject_verb_agreement_1,target
What customers are most trucks confusing and some organizations hiring?,What are most trucks confusing customers and some organizations hiring?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,938,p0,coordinate_structure_constraint_complex_left_branch,target
Phillip has investigated this unemployed man.,Phillip has investigated these unemployed man.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,973,p0,determiner_noun_agreement_with_adj_irregular_2,target
There is threatening to be a patient expecting this pedestrian to hug Stephanie.,There is needing to be a patient expecting this pedestrian to hug Stephanie.,syntax_semantics,control_raising,existential_there_subject_raising,973,p0,existential_there_subject_raising,target
What alumni had Noah hired and Alan thought about?,What had Noah hired alumni and Alan thought about?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,973,p0,coordinate_structure_constraint_complex_left_branch,target
The Clintons drive to a hospital.,The Clintons drives to a hospital.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,973,p0,regular_plural_subject_verb_agreement_1,target
The forgotten movies aren't important.,The forgot movies aren't important.,morphology,irregular_forms,irregular_past_participle_adjectives,973,p0,irregular_past_participle_adjectives,target
There threaten to be a lot of movies irritating Tiffany.,There wanted to be a lot of movies irritating Tiffany.,syntax_semantics,control_raising,existential_there_subject_raising,636,p0,existential_there_subject_raising,target
Carlos has talked about Anna.,Carlos have talked about Anna.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,636,p0,regular_plural_subject_verb_agreement_1,target
Linda described that clever man.,Linda described those clever man.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,636,p0,determiner_noun_agreement_with_adj_irregular_2,target
Whose committees had Mary discovered and this beef irritated?,Whose had Mary discovered committees and this beef irritated?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,636,p0,coordinate_structure_constraint_complex_left_branch,target
The forgotten documentaries are bad.,The forgot documentaries are bad.,morphology,irregular_forms,irregular_past_participle_adjectives,636,p0,irregular_past_participle_adjectives,target
Most guys go to that black oasis.,Most guys go to those black oasis.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,76,p0,determiner_noun_agreement_with_adj_irregular_2,target
There are apt to be many muffins wasting away.,There are reluctant to be many muffins wasting away.,syntax_semantics,control_raising,existential_there_subject_raising,76,p0,existential_there_subject_raising,target
The broken foot is old.,The broke foot is old.,morphology,irregular_forms,irregular_past_participle_adjectives,76,p0,irregular_past_participle_adjectives,target
Theodore explores most hills.,Theodore explore most hills.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,76,p0,regular_plural_subject_verb_agreement_1,target
Which teachers can Claire flee from and Andrew hide?,Which can Claire flee from teachers and Andrew hide?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,76,p0,coordinate_structure_constraint_complex_left_branch,target
The broken glasses are blue.,The broke glasses are blue.,morphology,irregular_forms,irregular_past_participle_adjectives,811,p0,irregular_past_participle_adjectives,target
There aren't about to be granddaughters of Marie answering.,There aren't reluctant to be granddaughters of Marie answering.,syntax_semantics,control_raising,existential_there_subject_raising,811,p0,existential_there_subject_raising,target
Alice fires this unconvinced child.,Alice fires these unconvinced child.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,811,p0,determiner_noun_agreement_with_adj_irregular_2,target
Every box has bothered Ronald.,Every box have bothered Ronald.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,811,p0,regular_plural_subject_verb_agreement_1,target
Which lights had Carl taken and Eric thought about?,Which had Carl taken lights and Eric thought about?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,811,p0,coordinate_structure_constraint_complex_left_branch,target
Eva has exited those smooth oases.,Eva has exited that smooth oases.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,136,p0,determiner_noun_agreement_with_adj_irregular_2,target
Sara hasn't impressed the Lutherans.,Sara haven't impressed the Lutherans.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,136,p0,regular_plural_subject_verb_agreement_1,target
Whose committees is Paula astounding and Wendy impressing?,Whose is Paula astounding committees and Wendy impressing?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,136,p0,coordinate_structure_constraint_complex_left_branch,target
There is soon to be a daughter of Donald declaring those scarves to crumple.,There is happy to be a daughter of Donald declaring those scarves to crumple.,syntax_semantics,control_raising,existential_there_subject_raising,136,p0,existential_there_subject_raising,target
The forgotten senator isn't confident.,The forgot senator isn't confident.,morphology,irregular_forms,irregular_past_participle_adjectives,136,p0,irregular_past_participle_adjectives,target
Stacy isn't boasting about Russell.,Stacy aren't boasting about Russell.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,859,p0,regular_plural_subject_verb_agreement_1,target
The known girl wasn't lost.,The knew girl wasn't lost.,morphology,irregular_forms,irregular_past_participle_adjectives,859,p0,irregular_past_participle_adjectives,target
What senators had Ellen left and Steven cured?,What had Ellen left senators and Steven cured?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,859,p0,coordinate_structure_constraint_complex_left_branch,target
There is apt to be a glacier annoying Mark.,There is reluctant to be a glacier annoying Mark.,syntax_semantics,control_raising,existential_there_subject_raising,859,p0,existential_there_subject_raising,target
Lawrence isn't questioning that nice woman.,Lawrence isn't questioning those nice woman.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,859,p0,determiner_noun_agreement_with_adj_irregular_2,target
There proved to be a lady proposing to irritate Tina.,There neglected to be a lady proposing to irritate Tina.,syntax_semantics,control_raising,existential_there_subject_raising,513,p0,existential_there_subject_raising,target
Which schools should Stacey go to and Roger stun?,Which should Stacey go to schools and Roger stun?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,513,p0,coordinate_structure_constraint_complex_left_branch,target
A waiter brought those purple teeth.,A waiter brought that purple teeth.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,513,p0,determiner_noun_agreement_with_adj_irregular_2,target
Elizabeth explores all restaurants.,Elizabeth explore all restaurants.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,513,p0,regular_plural_subject_verb_agreement_1,target
The broken unicycle was orange.,The broke unicycle was orange.,morphology,irregular_forms,irregular_past_participle_adjectives,513,p0,irregular_past_participle_adjectives,target
Which movie theaters had every teacher passed and Mitchell noticed?,Which had every teacher passed movie theaters and Mitchell noticed?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,626,p0,coordinate_structure_constraint_complex_left_branch,target
The broken mirrors were purple.,The broke mirrors were purple.,morphology,irregular_forms,irregular_past_participle_adjectives,626,p0,irregular_past_participle_adjectives,target
Christine praises every movie.,Christine praise every movie.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,626,p0,regular_plural_subject_verb_agreement_1,target
There looked to be a photograph vanishing.,There proposed to be a photograph vanishing.,syntax_semantics,control_raising,existential_there_subject_raising,626,p0,existential_there_subject_raising,target
Kristin wasn't kissing those small men.,Kristin wasn't kissing that small men.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,626,p0,determiner_noun_agreement_with_adj_irregular_2,target
The known woman is serious.,The knew woman is serious.,morphology,irregular_forms,irregular_past_participle_adjectives,678,p0,irregular_past_participle_adjectives,target
All customers conceal most students.,All customers conceals most students.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,678,p0,regular_plural_subject_verb_agreement_1,target
Some waiters hug this content alumnus.,Some waiters hug these content alumnus.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,678,p0,determiner_noun_agreement_with_adj_irregular_2,target
Which pedestrians has Tiffany alarmed and Chad listened to?,Which has Tiffany alarmed pedestrians and Chad listened to?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,678,p0,coordinate_structure_constraint_complex_left_branch,target
There are apt to be a lot of fathers of Michael discovering what shrink.,There are unable to be a lot of fathers of Michael discovering what shrink.,syntax_semantics,control_raising,existential_there_subject_raising,678,p0,existential_there_subject_raising,target
Those banks describe Eric.,Those banks describes Eric.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,411,p0,regular_plural_subject_verb_agreement_1,target
The known waitresses weren't clever.,The knew waitresses weren't clever.,morphology,irregular_forms,irregular_past_participle_adjectives,411,p0,irregular_past_participle_adjectives,target
Phillip discovers these busy women.,Phillip discovers this busy women.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,411,p0,determiner_noun_agreement_with_adj_irregular_2,target
There isn't soon to be a cashier donating.,There isn't willing to be a cashier donating.,syntax_semantics,control_raising,existential_there_subject_raising,411,p0,existential_there_subject_raising,target
Which chairs did Carlos like and every actress break?,Which did Carlos like chairs and every actress break?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,411,p0,coordinate_structure_constraint_complex_left_branch,target
Victoria is wearing all scarves.,Victoria were wearing all scarves.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,660,p0,regular_plural_subject_verb_agreement_1,target
Katherine was cleaning this orange tooth.,Katherine was cleaning these orange tooth.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,660,p0,determiner_noun_agreement_with_adj_irregular_2,target
The taken glaciers aren't rough.,The took glaciers aren't rough.,morphology,irregular_forms,irregular_past_participle_adjectives,660,p0,irregular_past_participle_adjectives,target
Which offspring is Edward working with and all gates impressing?,Which is Edward working with offspring and all gates impressing?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,660,p0,coordinate_structure_constraint_complex_left_branch,target
There is soon to be an eggplant upsetting Monica.,There is happy to be an eggplant upsetting Monica.,syntax_semantics,control_raising,existential_there_subject_raising,660,p0,existential_there_subject_raising,target
That guy wasn't noticing Samuel.,That guy aren't noticing Samuel.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,740,p0,regular_plural_subject_verb_agreement_1,target
There are soon to be no pies vanishing.,There are unhappy to be no pies vanishing.,syntax_semantics,control_raising,existential_there_subject_raising,740,p0,existential_there_subject_raising,target
What children has Laura remembered and Marcus aggravated?,What has Laura remembered children and Marcus aggravated?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,740,p0,coordinate_structure_constraint_complex_left_branch,target
The known dancers weren't unemployed.,The knew dancers weren't unemployed.,morphology,irregular_forms,irregular_past_participle_adjectives,740,p0,irregular_past_participle_adjectives,target
Bill passes that rough oasis.,Bill passes those rough oasis.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,740,p0,determiner_noun_agreement_with_adj_irregular_2,target
Some turtles are annoying what men?,Some annoying turtles what are men?,syntax,island_effects,left_branch_island_echo_question,883,p0,left_branch_island_echo_question,filler
The forgotten movies were important.,The forgot movies were important.,morphology,irregular_forms,irregular_past_participle_adjectives,737,p0,irregular_past_participle_adjectives,target
Mitchell was skated around.,Mitchell skated was around.,syntax,argument_structure,drop_argument,883,p0,drop_argument,filler
All waiters weren't arguing about Dana.,All waiters wasn't arguing about Dana.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,737,p0,regular_plural_subject_verb_agreement_1,target
Most students noticed this dish that those waitresses break.,Most dish that waitresses noticed students this those break.,syntax,filler_gap_dependency,wh_questions_object_gap,883,p0,wh_questions_object_gap,filler
Who haven't a lot of waitresses who can't forget Cynthia's French teachers shocked?,Who waitresses French a forget lot Cynthia's can't of haven't who teachers shocked?,syntax,island_effects,complex_NP_island,883,p0,complex_NP_island,filler
There hadn't appeared to be a picture irritating Angela.,There hadn't intended to be a picture irritating Angela.,syntax_semantics,control_raising,existential_there_subject_raising,737,p0,existential_there_subject_raising,target
Actresses discuss this popular person.,Actresses discuss these popular person.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,737,p0,determiner_noun_agreement_with_adj_irregular_2,target
What alumni has Scott impressed and Stephen discussed?,What has Scott impressed alumni and Stephen discussed?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,737,p0,coordinate_structure_constraint_complex_left_branch,target
Those scarves didn't dry.,Those didn't scarves dry.,syntax,argument_structure,inchoative,883,p0,inchoative,filler
Some adult is discovering this book that Jason discovered.,Some this adult book Jason is discovering that discovered.,syntax,filler_gap_dependency,wh_questions_object_gap,521,p0,wh_questions_object_gap,filler
Most bicycles slow.,Most slow bicycles.,syntax,argument_structure,inchoative,521,p0,inchoative,filler
Amanda hadn't seen.,Amanda seen hadn't.,syntax,argument_structure,drop_argument,521,p0,drop_argument,filler
There does turn out to be a mouth scaring the committee.,There does bother to be a mouth scaring the committee.,syntax_semantics,control_raising,existential_there_subject_raising,521,p0,existential_there_subject_raising,target
Kristen does hate which people?,Kristen does which hate people?,syntax,island_effects,left_branch_island_echo_question,521,p0,left_branch_island_echo_question,filler
Tina might confuse this exposed child.,Tina might confuse these exposed child.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,521,p0,determiner_noun_agreement_with_adj_irregular_2,target
Kristin leaves Monica.,Kristin leave Monica.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,521,p0,regular_plural_subject_verb_agreement_1,target
The worn sock isn't smooth.,The wore sock isn't smooth.,morphology,irregular_forms,irregular_past_participle_adjectives,521,p0,irregular_past_participle_adjectives,target
What would that man that hadn't concealed Linda respect?,What Linda would hadn't man concealed that that respect?,syntax,island_effects,complex_NP_island,521,p0,complex_NP_island,filler
Which muffins is Sandra finding and Spain taking?,Which is Sandra finding muffins and Spain taking?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,521,p0,coordinate_structure_constraint_complex_left_branch,target
The worn sweater is rough.,The wore sweater is rough.,morphology,irregular_forms,irregular_past_participle_adjectives,319,p1,irregular_past_participle_adjectives,target
Pamela hasn't climbed down that ladder.,Pamela haven't climbed down that ladder.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,319,p1,regular_plural_subject_verb_agreement_1,target
Every waiter isn't sure to murmur.,Every waiter isn't easy to murmur.,syntax_semantics,control_raising,tough_vs_raising_2,319,p1,tough_vs_raising_2,target
There turned out to be a movie about politics stunning Candice.,There needed to be a movie about politics stunning Candice.,syntax_semantics,control_raising,existential_there_subject_raising,319,p1,existential_there_subject_raising,target
Which museums has Amelia explored and Bill described?,Which has Amelia explored museums and Bill described?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,319,p1,coordinate_structure_constraint_complex_left_branch,target
Some people weren't soon to chuckle.,Some people weren't exciting to chuckle.,syntax_semantics,control_raising,tough_vs_raising_2,761,p1,tough_vs_raising_2,target
Some drivers annoys Derek.,Some drivers annoy Derek.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,761,p1,regular_plural_subject_verb_agreement_1,target
Which scarves was Sarah wearing and Julia taking?,Which was Sarah wearing scarves and Julia taking?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,761,p1,coordinate_structure_constraint_complex_left_branch,target
The worn hats weren't green.,The wore hats weren't green.,morphology,irregular_forms,irregular_past_participle_adjectives,761,p1,irregular_past_participle_adjectives,target
There was certain to be a box hurting Bethany.,There was happy to be a box hurting Bethany.,syntax_semantics,control_raising,existential_there_subject_raising,761,p1,existential_there_subject_raising,target
This library is annoying Ann.,This library are annoying Ann.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,883,p1,regular_plural_subject_verb_agreement_1,target
Richard's electrician was sure to skate around most lakes.,Richard's electrician was fun to skate around most lakes.,syntax_semantics,control_raising,tough_vs_raising_2,883,p1,tough_vs_raising_2,target
Which restaurants will Carolyn find and Charles take?,Which will Carolyn find restaurants and Charles take?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,883,p1,coordinate_structure_constraint_complex_left_branch,target
There happened to be a girl remembering who tries to scratch.,There managed to be a girl remembering who tries to scratch.,syntax_semantics,control_raising,existential_there_subject_raising,883,p1,existential_there_subject_raising,target
The known women are content.,The knew women are content.,morphology,irregular_forms,irregular_past_participle_adjectives,883,p1,irregular_past_participle_adjectives,target
There was seeming to be a glacier freezing.,There was intending to be a glacier freezing.,syntax_semantics,control_raising,existential_there_subject_raising,280,p1,existential_there_subject_raising,target
Which steps has Steven ascended and some doctor descended?,Which has Steven ascended steps and some doctor descended?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,280,p1,coordinate_structure_constraint_complex_left_branch,target
Sheila escapes from a teenager.,Sheila escape from a teenager.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,280,p1,regular_plural_subject_verb_agreement_1,target
That doctor was apt to die.,That doctor was fun to die.,syntax_semantics,control_raising,tough_vs_raising_2,280,p1,tough_vs_raising_2,target
The hidden face was important.,The hid face was important.,morphology,irregular_forms,irregular_past_participle_adjectives,280,p1,irregular_past_participle_adjectives,target
There wasn't certain to be spinach going bad.,There wasn't unhappy to be spinach going bad.,syntax_semantics,control_raising,existential_there_subject_raising,899,p1,existential_there_subject_raising,target
Whose closets has Carmen passed and Gary fled from?,Whose has Carmen passed closets and Gary fled from?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,899,p1,coordinate_structure_constraint_complex_left_branch,target
The forgotten doctors were displeased.,The forgot doctors were displeased.,morphology,irregular_forms,irregular_past_participle_adjectives,899,p1,irregular_past_participle_adjectives,target
Stephanie isn't bound to tempt that woman to die.,Stephanie isn't hard work to tempt that woman to die.,syntax_semantics,control_raising,tough_vs_raising_2,899,p1,tough_vs_raising_2,target
Candice wears a skirt.,Candice wear a skirt.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,899,p1,regular_plural_subject_verb_agreement_1,target
The broken computers are new.,The broke computers are new.,morphology,irregular_forms,irregular_past_participle_adjectives,938,p1,irregular_past_participle_adjectives,target
Sheila isn't about to think about Deborah.,Sheila isn't tough to think about Deborah.,syntax_semantics,control_raising,tough_vs_raising_2,938,p1,tough_vs_raising_2,target
What customers are most trucks confusing and some organizations hiring?,What are most trucks confusing customers and some organizations hiring?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,938,p1,coordinate_structure_constraint_complex_left_branch,target
The waitresses think about all newspaper articles.,The waitresses thinks about all newspaper articles.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,938,p1,regular_plural_subject_verb_agreement_1,target
There wouldn't prove to be a son of Stacy winning.,There wouldn't try to be a son of Stacy winning.,syntax_semantics,control_raising,existential_there_subject_raising,938,p1,existential_there_subject_raising,target
The forgotten movies aren't important.,The forgot movies aren't important.,morphology,irregular_forms,irregular_past_participle_adjectives,973,p1,irregular_past_participle_adjectives,target
What alumni had Noah hired and Alan thought about?,What had Noah hired alumni and Alan thought about?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,973,p1,coordinate_structure_constraint_complex_left_branch,target
The Clintons drive to a hospital.,The Clintons drives to a hospital.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,973,p1,regular_plural_subject_verb_agreement_1,target
The Clintons are about to boast about some actress.,The Clintons are fun to boast about some actress.,syntax_semantics,control_raising,tough_vs_raising_2,973,p1,tough_vs_raising_2,target
There is threatening to be a patient expecting this pedestrian to hug Stephanie.,There is needing to be a patient expecting this pedestrian to hug Stephanie.,syntax_semantics,control_raising,existential_there_subject_raising,973,p1,existential_there_subject_raising,target
The forgotten documentaries are bad.,The forgot documentaries are bad.,morphology,irregular_forms,irregular_past_participle_adjectives,636,p1,irregular_past_participle_adjectives,target
Whose committees had Mary discovered and this beef irritated?,Whose had Mary discovered committees and this beef irritated?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,636,p1,coordinate_structure_constraint_complex_left_branch,target
There threaten to be a lot of movies irritating Tiffany.,There wanted to be a lot of movies irritating Tiffany.,syntax_semantics,control_raising,existential_there_subject_raising,636,p1,existential_there_subject_raising,target
Carlos has talked about Anna.,Carlos have talked about Anna.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,636,p1,regular_plural_subject_verb_agreement_1,target
April wasn't sure to flee from the bank.,April wasn't irritating to flee from the bank.,syntax_semantics,control_raising,tough_vs_raising_2,636,p1,tough_vs_raising_2,target
There are apt to be many muffins wasting away.,There are reluctant to be many muffins wasting away.,syntax_semantics,control_raising,existential_there_subject_raising,76,p1,existential_there_subject_raising,target
Theodore explores most hills.,Theodore explore most hills.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,76,p1,regular_plural_subject_verb_agreement_1,target
Katherine's grandmothers weren't about to remember who returns to Lissa.,Katherine's grandmothers weren't tough to remember who returns to Lissa.,syntax_semantics,control_raising,tough_vs_raising_2,76,p1,tough_vs_raising_2,target
Which teachers can Claire flee from and Andrew hide?,Which can Claire flee from teachers and Andrew hide?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,76,p1,coordinate_structure_constraint_complex_left_branch,target
The broken foot is old.,The broke foot is old.,morphology,irregular_forms,irregular_past_participle_adjectives,76,p1,irregular_past_participle_adjectives,target
There aren't about to be granddaughters of Marie answering.,There aren't reluctant to be granddaughters of Marie answering.,syntax_semantics,control_raising,existential_there_subject_raising,811,p1,existential_there_subject_raising,target
Which lights had Carl taken and Eric thought about?,Which had Carl taken lights and Eric thought about?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,811,p1,coordinate_structure_constraint_complex_left_branch,target
Every box has bothered Ronald.,Every box have bothered Ronald.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,811,p1,regular_plural_subject_verb_agreement_1,target
The broken glasses are blue.,The broke glasses are blue.,morphology,irregular_forms,irregular_past_participle_adjectives,811,p1,irregular_past_participle_adjectives,target
All teachers are unlikely to respond.,All teachers are difficult to respond.,syntax_semantics,control_raising,tough_vs_raising_2,811,p1,tough_vs_raising_2,target
There is soon to be a daughter of Donald declaring those scarves to crumple.,There is happy to be a daughter of Donald declaring those scarves to crumple.,syntax_semantics,control_raising,existential_there_subject_raising,136,p1,existential_there_subject_raising,target
Whose committees is Paula astounding and Wendy impressing?,Whose is Paula astounding committees and Wendy impressing?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,136,p1,coordinate_structure_constraint_complex_left_branch,target
All students' bosses were about to shout.,All students' bosses were annoying to shout.,syntax_semantics,control_raising,tough_vs_raising_2,136,p1,tough_vs_raising_2,target
Sara hasn't impressed the Lutherans.,Sara haven't impressed the Lutherans.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,136,p1,regular_plural_subject_verb_agreement_1,target
The forgotten senator isn't confident.,The forgot senator isn't confident.,morphology,irregular_forms,irregular_past_participle_adjectives,136,p1,irregular_past_participle_adjectives,target
There is apt to be a glacier annoying Mark.,There is reluctant to be a glacier annoying Mark.,syntax_semantics,control_raising,existential_there_subject_raising,859,p1,existential_there_subject_raising,target
What senators had Ellen left and Steven cured?,What had Ellen left senators and Steven cured?,syntax,island_effects,coordinate_structure_constraint_complex_left_branch,859,p1,coordinate_structure_constraint_complex_left_branch,target
